char_id,ontology,list_of_finest_character
1,hao," http://purl.obolibrary.org/obo/HAO_0000234"
1,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
2,hao,"http://purl.obolibrary.org/obo/HAO_0001432"
2,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
3,hao,"http://purl.obolibrary.org/obo/HAO_0000419"
3,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
4,hao,"http://purl.obolibrary.org/obo/HAO_0001022"
4,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
5,hao,"http://purl.obolibrary.org/obo/HAO_0001022"
5,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
6,hao,"http://purl.obolibrary.org/obo/HAO_0000105"
6,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
7,hao,"http://purl.obolibrary.org/obo/HAO_0001022"
7,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
8,hao,"http://purl.obolibrary.org/obo/HAO_0000965"
8,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
9,hao,"http://purl.obolibrary.org/obo/HAO_0000212"
9,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
10,hao,"http://purl.obolibrary.org/obo/HAO_0000670"
10,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
11,hao,"http://purl.obolibrary.org/obo/HAO_0000656"
11,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
12,hao,"http://purl.obolibrary.org/obo/HAO_0000347"
12,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
13,hao,"http://purl.obolibrary.org/obo/HAO_0000768"
13,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
14,hao,"ttp://purl.obolibrary.org/obo/HAO_0001218"
14,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
15,hao,"http://purl.obolibrary.org/obo/HAO_0001218"
15,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
16,hao,"http://purl.obolibrary.org/obo/HAO_0001218"
16,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
17,hao,"http://purl.obolibrary.org/obo/HAO_0001218, http://purl.obolibrary.org/obo/HAO_0000978"
17,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
18,hao,"http://purl.obolibrary.org/obo/HAO_0000653"
18,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
19,hao,"http://purl.obolibrary.org/obo/HAO_0000653"
19,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
20,hao,"http://purl.obolibrary.org/obo/HAO_0000275"
20,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
21,hao,"http://purl.obolibrary.org/obo/HAO_0000998"
21,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
22,hao,"http://purl.obolibrary.org/obo/HAO_0002479"
22,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
23,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
23,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
24,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
24,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
25,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
25,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
26,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
26,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
27,hao,"http://purl.obolibrary.org/obo/HAO_0000300"
27,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
28,hao,"http://purl.obolibrary.org/obo/HAO_0000301"
28,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
29,hao,"http://purl.obolibrary.org/obo/HAO_0000301"
29,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
30,hao,"http://purl.obolibrary.org/obo/HAO_0001765"
30,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
31,hao,"http://purl.obolibrary.org/obo/HAO_0001630"
31,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
32,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
32,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
33,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
33,pato,"http://purl.obolibrary.org/obo/PATO_0000915"
34,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
34,pato,"http://purl.obolibrary.org/obo/PATO_0000066"
35,hao,"http://purl.obolibrary.org/obo/HAO_0001550"
35,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
36,hao,"http://purl.obolibrary.org/obo/HAO_0000939"
36,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
37,hao,"http://purl.obolibrary.org/obo/HAO_0000939"
37,pato,"http://purl.obolibrary.org/obo/PATO_0000066"
38,hao,"http://purl.obolibrary.org/obo/HAO_0001565"
38,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
39,hao,"http://purl.obolibrary.org/obo/HAO_0001563"
39,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
40,hao,"http://purl.obolibrary.org/obo/HAO_0002214"
40,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
41,hao,"http://purl.obolibrary.org/obo/HAO_0001019"
41,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
42,hao,"http://purl.obolibrary.org/obo/HAO_0001019"
42,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
43,hao,"http://purl.obolibrary.org/obo/HAO_0002480"
43,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
44,hao,"http://purl.obolibrary.org/obo/HAO_0000506"
44,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
45,hao,"http://purl.obolibrary.org/obo/HAO_0002481"
45,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
46,hao,"http://purl.obolibrary.org/obo/HAO_0000508"
46,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
47,hao,"http://purl.obolibrary.org/obo/HAO_0000108"
47,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
48,hao,"http://purl.obolibrary.org/obo/HAO_0000376"
48,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
49,hao,"http://purl.obolibrary.org/obo/HAO_0000376"
